Heart disease_number,diabetes_number,Two or more races pop,0-9,20-29,30-39,40-49,50-59,80+,Unemployed_2018,Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Total Specialist Physicians (2019),STATE_NAME_N
4996,7150,5166,9177,8420,8684,8576,9773,3013,1204,20.53829609,23.38932393,2.269926623,84.65918334,36
2722,3686,620,4621,4212,4715,5182,6980,2079,916,22.80553319,13.79880996,0.997413981,68.97155172,49
1935,3912,343,3677,4951,3240,3192,3719,1102,757,13.60946197,9.403671856,0.409838419,36.14492206,10
97,164,163,274,226,207,189,223,28,86,1.032981756,0.744607682,0.045192952,1.820630345,1
1450,2096,251,1702,2225,1754,1975,2244,757,409,8.625370466,6.116504747,0.512760877,25.66551318,48
5231,7354,1961,9268,8360,8697,8957,10788,2930,1726,33.36164423,28.55364256,1.086895197,153.2446748,22
308,464,51,343,334,301,303,399,201,49,1.0444346,0.616427411,0.055175686,3.57618627,43
1695,3263,542,5940,4964,4320,3908,3958,1122,443,19.11179819,9.68393185,1.617868422,44.38080786,16
2255,4414,231,4306,4685,3953,3367,3812,978,764,21.88514363,1.122584069,1.03865255,35.4715583,24
54,72,18,96,54,76,39,94,53,10,0.32214477,0.249917867,0.035793863,0.736330903,26
2516,3539,554,3187,3915,3572,4422,5084,1722,555,17.90950804,8.40683026,0.383946577,47.00146014,46
2805,4050,484,5326,5180,4029,4129,4505,1264,696,23.79688041,7.997179305,0.851626599,52.36286977,17
1790,2401,410,2487,2481,2348,2677,3239,1003,353,9.412220351,1.507397742,0.634693786,26.23160568,3
846,1607,129,1143,1658,1786,1836,1633,349,161,6.11265925,2.869318835,0.131044057,16.04197666,46
1003,1549,174,1587,1702,1563,1886,2211,776,259,7.806027546,1.910250008,0.298405918,19.6812267,14
5087,7873,1427,8418,9280,8677,8108,9157,3062,1106,40.91289654,20.16846914,0.718292763,96.33398284,9
1588,2841,215,2351,2286,2337,2318,2491,1093,427,10.21470493,2.154066668,0.406655577,25.53474918,0
167,225,48,295,211,232,220,326,178,61,1.390702521,0.690786591,0.118681397,2.747930802,34
799,1178,239,1345,1359,1202,1141,1640,878,188,6.739435447,3.414866195,0.570512501,15.65010192,16
471,629,91,842,664,746,757,957,457,69,4.258532482,1.889973053,0.261449965,9.055474638,15
1794,2879,362,3386,3526,2969,3700,4143,886,497,14.24723867,3.486509318,0.544638142,35.92136109,14
201,311,65,359,273,291,303,407,168,37,1.606749087,0.814138392,0.136015909,3.731141454,16
1794,3177,378,3226,3267,3346,3735,4049,1048,508,13.09818598,9.050397667,0.394441738,34.78704099,10
5173,7478,1589,9685,11284,9372,9412,10229,3036,1478,34.08915083,5.459488524,2.29873201,95.00554909,3
1871,2648,414,3194,3069,2717,2906,3232,935,395,10.38085158,1.662527187,0.700011447,28.93115493,3
1010,1337,177,853,673,775,880,1404,676,158,5.303600355,1.032161029,0.189358865,16.86380388,25
37762,75829,26312,128890,122469,127390,137896,125418,17104,17073,424.6662039,293.4297945,12.7884942,1127.856992,10
2442,3295,597,4172,3731,3893,3783,4761,1468,688,14.79801699,12.6653616,0.482107341,67.97378709,22
4308,6496,966,8783,8106,7815,7031,8256,2291,1287,31.54889572,10.23604189,2.108597938,99.99825536,18
4410,6088,1064,7627,7877,7776,7997,8994,2608,1204,28.28541059,24.20898377,0.921515639,129.9273057,22
12381,19664,6872,25513,25527,27835,28533,30707,6596,3487,125.3865989,61.81072386,2.201366663,295.2367465,9
7128,10789,2341,13585,16395,15171,18028,24616,4995,2871,87.19608678,29.42887685,1.29600854,247.6324611,30
519,823,199,1167,1121,1367,1164,1259,381,289,3.728173534,2.464857067,0.166794839,11.4161801,44
176,229,7,256,182,207,205,282,195,24,1.342000876,0.666595621,0.114525239,2.651699762,34
14899,23351,5210,26600,29733,27540,26350,32142,12126,4498,148.1508844,104.4727472,1.950126621,574.5589926,32
7162,9818,3011,12983,27932,16290,16414,21348,5632,3097,136.4457149,68.43407372,1.351784172,363.9256451,6
621,843,136,1171,940,1156,974,1295,660,130,5.813843787,2.580233481,0.35693734,12.3627365,15
2152,3144,259,2784,3331,3083,3493,4385,1525,737,16.13378433,11.10494698,0.241306975,66.27254755,20
1293,1877,200,1160,1833,2037,2227,2374,545,250,12.52756495,2.597922307,0.250638478,22.01913513,42
2276,3361,566,3709,3574,3381,3594,4029,1385,741,15.4877522,5.734494769,0.497536666,58.42721817,35
2632,3858,444,3167,4276,3521,4010,4421,1324,549,26.96207066,5.591299274,0.539429041,47.3900139,42
1408,1981,513,2483,6429,2357,2186,2612,984,375,14.13270895,2.750439406,0.504591891,44.9376303,25
1058,1629,205,1763,1754,1681,1975,2106,730,395,7.987143071,1.954571646,0.305329535,20.13787071,14
657,875,100,1171,1086,1113,988,1243,730,108,5.906407342,2.621313976,0.362620222,12.5595665,15
2064,3626,637,3580,8134,3336,3278,3521,1206,686,17.30375167,3.648997692,0.6888762,43.25596891,0
4139,7676,637,6244,6410,5668,5707,7143,2422,1470,23.62447634,21.24550109,0.560937322,75.02035851,33
988,1413,189,1307,1178,1303,1304,1734,601,205,4.193949901,2.475277704,0.221559172,14.36025391,43
566,921,106,834,759,808,848,1034,416,126,2.615915458,1.543918588,0.138194322,8.957000221,43
372,522,76,837,717,748,753,876,364,77,3.544598262,2.788191169,0.315452286,9.310930363,27
1390,1912,165,1477,1595,1487,1713,2035,700,358,7.349431176,5.211698541,0.43690886,21.86884882,48
124,200,34,303,217,202,252,239,136,28,1.187155784,0.601530823,0.100496135,2.756775276,16
13248,20405,5498,27640,32475,32822,30882,33536,12200,4334,137.4800515,111.2915054,3.906687171,525.4788719,38
691,990,124,1517,1259,1210,1137,1427,736,225,5.635607062,3.54573611,0.248514617,18.36072954,23
1323,2064,229,2230,2165,2248,2459,3118,904,360,10.48870452,2.566740607,0.400958296,26.44502216,14
845,1315,538,3762,2260,2858,2249,1938,577,355,7.622824297,5.039779444,0.341037707,23.34213637,44
2806,3606,883,4931,4120,4778,4569,5602,2421,805,21.45696721,16.65416419,0.659644242,54.02412228,5
22735,40266,16127,77624,67406,90564,86984,66582,13894,9168,195.4758692,115.3702529,10.32665451,669.3172743,43
